,Name,Geometry,Address,Description,Lattitude,Longitude,Category
149,Shapolsky Anita Gallery,POINT (-73.96455976643841 40.7653957451292),152 E 65th St,,-73.96455976643841,40.7653957451292,Art_Gallery
150,Shawn Dulaney Studio,POINT (-73.992055668654 40.74147186911685),34 W 22nd St,,-73.992055668654,40.74147186911685,Art_Gallery
151,Shepherd & Derom Galleries,POINT (-73.96166653283252 40.77579398709301),58 E 79th St,,-73.96166653283252,40.77579398709301,Art_Gallery
152,Shickman H Gallery,POINT (-73.95972631317878 40.76901768334879),220 E 72nd St,,-73.95972631317878,40.76901768334879,Art_Gallery
153,Shulman B & M Inc,POINT (-73.9450654828952 40.600273523844436),2623 Avenue U,,-73.9450654828952,40.600273523844436,Art_Gallery
154,Sigrid Freundorfer Fine Art,POINT (-73.96809592587059 40.76848322657679),790 Madison Ave,,-73.96809592587059,40.76848322657679,Art_Gallery
155,Silverstein Gallery Inc,POINT (-74.00610391839206 40.7465866957298),520 West 21st St,,-74.00610391839206,40.7465866957298,Art_Gallery
156,Simply Marvelous Art,POINT (-73.79975655329956 40.70412220555415),159-15 Jamaica Ave,,-73.79975655329956,40.70412220555415,Art_Gallery
157,Skoto Gallery,POINT (-74.00685030055344 40.746676581928234),529 W 20th St,,-74.00685030055344,40.746676581928234,Art_Gallery
158,Sloan McGill Collection,POINT (-73.95565084132937 40.65961513441343),150 Midwood St,,-73.95565084132937,40.65961513441343,Art_Gallery
159,Smack Mellon Studios,POINT (-73.98985972420431 40.703750736899),92 Plymouth St,,-73.98985972420431,40.703750736899,Art_Gallery
160,Smith Gallery,POINT (-74.00265775483314 40.748146010251716),447 W 24th St,,-74.00265775483314,40.748146010251716,Art_Gallery
161,Society For Renewal of Christian Art,POINT (-73.96219073494362 40.765647029599016),217 E 66th St,,-73.96219073494362,40.765647029599016,Art_Gallery
162,Soho 20,POINT (-74.00383257307128 40.74948117558807),511 W 25th St,,-74.00383257307128,40.74948117558807,Art_Gallery
163,Soho Photo Gallery,POINT (-74.00555633265509 40.718964186297654),15 White St,,-74.00555633265509,40.718964186297654,Art_Gallery
164,Soldwedel Kipp,POINT (-73.97074200370785 40.76224192243714),470 Park Ave,,-73.97074200370785,40.76224192243714,Art_Gallery
165,Soloman & Co Fine Art Gallerie,POINT (-73.96352461082171 40.77383485220909),959 Madison Ave,,-73.96352461082171,40.77383485220909,Art_Gallery
166,Sonnabend Gallery Inc,POINT (-74.00640433268863 40.74753287385608),532 W 22nd St,,-74.00640433268863,40.74753287385608,Art_Gallery
167,Soufer Gallery,POINT (-73.96219093364687 40.77578491128998),1015 Madison Ave,,-73.96219093364687,40.77578491128998,Art_Gallery
168,Spencer Brownstone Gallery,POINT (-74.0028519546277 40.72259290570126),39 Wooster St.,,-74.0028519546277,40.72259290570126,Art_Gallery
