,Names,Geometry,Address,Lattitude,Longitude,Category,Details
1452,Monument to First Avenue Underpass at Sitting Area on 1st Avenue between East 41st and 42nd Streets,POINT(992401.0345389694 211917.70383897424),NEAR UNITED NATIONS SITE; Between East 41st and 42nd Streets on First Avenue,992401.034538969,211917.703838974,Park,Dedicated 1952
1453,Monument to Thomas Moore Memorial at Prospect Park,POINT(994099.6640157253 179235.0995848924),Flower Garden,994099.664015725,179235.099584892,Park,"Dedicated May 28, 1879"
1454,Monument to East Side Post 868 American Legion Flagstaff at Tompkins Square Park,POINT(989385.598640725 204036.7074618936),Near Park Office,989385.598640725,204036.707461894,Park,Dedicated 1942
1455,Monument to Emma Lazarus Memorial Plaque at Battery Park,POINT(979429.3659285604 195630.0959943086),West of Castle Clinton,979429.36592856,195630.095994309,Park,Dedicated 1955
1456,Monument to Murray Hill War Memorial at St. Vartan's Park,POINT(991671.3142136337 210714.2872825563),35th-36th Streets and 1st and 2nd Avenues,991671.314213634,210714.287282556,Park,Dedicated 1936
1457,Monument to Castle Clinton National Monument Plaques at Battery Park,POINT(979669.8346077204 195560.52297072115),,979669.83460772,195560.522970721,Park,Dedicated 1954
1458,Monument to Christopher Columbus Monument Fountain at Central Park,POINT(989263.3869428932 219099.07661530373),59th Street and Central Park West (Columbus Circle),989263.386942893,219099.076615304,Park,"Dedicated October 11, 1965"
1459,Monument to Andrew Heiskell Plaza at Bryant Park,POINT(988682.5150731356 214184.81774306297),Northwest corner (street level),988682.515073136,214184.817743063,Park,"Dedicated April 20, 1993"
1460,Monument to Eleanor Roosevelt Memorial at Riverside Park,POINT(988186.0488744676 223683.7511729747),72nd Street and Riverside Drive (Eleanor Roosevelt Memorial Plaza),988186.048874468,223683.751172975,Park,"Dedicated October 5, 1996"
1461,Monument to Gay Liberation at Christopher Park,POINT(983584.224416718 206541.44523456693),"Adjoining Sheridan Square, Christopher, Grove and West 4th Streets",983584.224416718,206541.445234567,Park,"Dedicated June 23, 1992"
1462,Monument to Andrew Haswell Green at Central Park,POINT(996911.2571458071 228965.92335139212),"East Drive, opposite 104th Street",996911.257145807,228965.923351392,Park,Dedicated 1928
1463,Monument to Bronx River Soldier at Varian House Park,POINT(1017588.6085075588 259017.5322113037),North of Valentine-Varian House,1017588.60850756,259017.532211304,Park,"Dedicated August 21, 1970"
1464,Monument to Allerton Avenue Bridge Plaques at Bronx Park,POINT(1018999.3858697264 255141.5127323866),East of main entrance to Botanical Gardens,1018999.38586973,255141.512732387,Park,Dedicated 1905
1465,Monument to Horace Greeley at Greeley Square,POINT(987475.691043228 212000.2085952312),32nd Street between Broadway and Sixth Avenue,987475.691043228,212000.208595231,Park,"Dedicated May 30, 1894"
1466,Monument to Arthur Brisbane Monument at Central Park,POINT(997195.1447013916 227681.39376822117),Fifth Avenue at 101st Street,997195.144701392,227681.393768221,Park,Dedicated 1939
1467,Monument to Father Duffy D.S.C. Post 54 Flagstaffs at Father Duffy Square,POINT(988391.918869555 215814.67964081463),45th Street and Broadway,988391.918869555,215814.679640815,Park,"Dedicated June 20, 1954"
