Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
Fraunces Tavern,American,3.5,$$,54 Pearl St,40.70344,-74.01135,https://www.yelp.com/biz/fraunces-tavern-new-york-6?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,jjLcqGI11ThxAhcftEh1Aw
Woodrow's,American,4.0,$$,43 Murray St,40.71411129999999,-74.009201,https://www.yelp.com/biz/woodrows-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,j8DFd-bxnvM_UfHnDLIA0g
RH Rooftop Restaurant New York,American,4.0,$$$,9 9th Ave,40.73985,-74.00639,https://www.yelp.com/biz/rh-rooftop-restaurant-new-york-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,8SehQovJOuQDLbtzLLYLyw
Comfi,American,4.5,$$,2638 Hwy 516,40.403863799999996,-74.32186779999999,https://www.yelp.com/biz/comfi-old-bridge-township?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,0qaqUSscW-iYRY2oXO7e6g
Cafe Restaurant Volna,American,2.0,$$,3145 Brighton 4th St,40.575401306152294,-73.9626770019531,https://www.yelp.com/biz/cafe-restaurant-volna-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,5y3lsh4QeLCM3uNn36wXSw
Pier 66 Maritime,American,3.0,$$,W 26th St,40.752196999999995,-74.009167,https://www.yelp.com/biz/pier-66-maritime-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,80jmHsdVmeYxaoAHaegKyQ
Abbey Tavern,American,3.5,$$,354 3rd Ave,40.74071,-73.98201,https://www.yelp.com/biz/abbey-tavern-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,1f5qB_hERe4OxBjE6QNLWg
Peggy Dempseys,American,4.0,$$,6414 Flushing Ave,40.7227683,-73.9009193,https://www.yelp.com/biz/peggy-dempseys-maspeth?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,eyPLPYE1gttc34MLKSmvPw
Old Town Bar & Restaurant,American,3.5,$$,45 E 18th St,40.737594,-73.989166,https://www.yelp.com/biz/old-town-bar-and-restaurant-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Q02uPdw8j8yDIVSPyJATjA
P.J. Clarke's,American,3.5,$$,915 Third Ave,40.7589148,-73.96803359999998,https://www.yelp.com/biz/p-j-clarkes-new-york-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,54SrQVVhGcvfuIkFabQ8KQ
Buckley's Restaurant and Catering,American,3.5,$$,2926 Ave S,40.60492,-73.94308000000001,https://www.yelp.com/biz/buckleys-restaurant-and-catering-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,7O8RMiHmijSFFjB9FCBx2Q
The Parlour,American,3.0,$$,250 W 86th St,40.78836,-73.97702,https://www.yelp.com/biz/the-parlour-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,SHgZu1bUpe3m4aoWcNW1cA
Dorrian's Red Hand,American,4.0,$$,555 Washington Blvd,40.7276944,-74.0346549,https://www.yelp.com/biz/dorrians-red-hand-jersey-city?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,G4q_yqq7lLm9FvCfLQno5g
Bungalow Bar,American,4.0,$$,377 Beach 92nd St,40.5890639,-73.817172,https://www.yelp.com/biz/bungalow-bar-rockaway-beach?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,edLi09LmjWXgL1NOCJ4qjA
Hudson Station,American,3.0,$$,440 9th Ave SE 35th St,40.753676,-73.99549300000001,https://www.yelp.com/biz/hudson-station-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,lGe2NRqJbEhf1dA0zo-qBw
The Gin Mill,American,3.5,$$,442 Amsterdam Ave,40.7847,-73.97740999999999,https://www.yelp.com/biz/the-gin-mill-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,xGegODk2DyGam3n03Wk1fg
