,Names,Geometry,Address,Lattitude,Longitude,Category
670,Leo Castelli Gallery,POINT (-73.96371064617742 40.77501230396186),18 E 77th St,40.77501230396186,-73.96371064617742,Art_Gallery
671,Leo Kaplan Modern Ltd,POINT (-73.97007751754849 40.761091378887265),114 E 57th St,40.761091378887265,-73.97007751754849,Art_Gallery
672,Leo Koenig Inc,POINT (-74.00588391810967 40.74887766804935),545 West 23rd Street,40.74887766804935,-74.00588391810967,Art_Gallery
673,Leon Tovar Gallery,POINT (-73.96652981846641 40.77112198760146),16 E 71st St,40.77112198760146,-73.96652981846641,Art_Gallery
674,Leslie-Lohman Gay Art Foundation,POINT (-74.00027430190332 40.725657281716074),131 Prince St,40.725657281716074,-74.00027430190332,Art_Gallery
675,Levin Betty,POINT (-73.97198517368206 40.762403359601485),41 E 57th St,40.762403359601485,-73.97198517368206,Art_Gallery
676,Levine Elizabeth & Assocs,POINT (-73.97752233831233 40.78986636444299),565 W End Ave,40.78986636444299,-73.97752233831233,Art_Gallery
677,Lewitt Fine Art Gallery,POINT (-73.96271300500342 40.77635842960548),16 E 79th St,40.77635842960548,-73.96271300500342,Art_Gallery
678,Lexington Art & Frame Co,POINT (-73.96626234371489 40.765174089329214),832 Lexington Ave,40.765174089329214,-73.96626234371489,Art_Gallery
679,Limner Gallery,POINT (-73.98905873668865 40.74758821864417),870 Avenue of the Americas,40.74758821864417,-73.98905873668865,Art_Gallery
680,Decor Art Gallery,POINT (-73.97664409804126 40.747225030421035),551 3rd Ave,40.747225030421035,-73.97664409804126,Art_Gallery
681,Decor Art Gallery Inc,POINT (-73.98154385842008 40.7404255519148),353 3rd Ave,40.7404255519148,-73.98154385842008,Art_Gallery
682,Decor Art Gallery Inc,POINT (-73.99753554633254 40.741996280274655),158 7th Ave,40.741996280274655,-73.99753554633254,Art_Gallery
683,Decor Art Gallery VII+,POINT (-73.98527373184241 40.736362036938104),222 3rd Ave,40.736362036938104,-73.98527373184241,Art_Gallery
684,Deitch Projects,POINT (-74.00256827194076 40.722033638383714),76 Grand St,40.722033638383714,-74.00256827194076,Art_Gallery
685,Demirjian Torkom,POINT (-73.96384991439417 40.774240737523726),970 Madison Ave,40.774240737523726,-73.96384991439417,Art_Gallery
686,Demu Gallery,POINT (-73.97407489974366 40.68639582033313),761 Fulton St,40.68639582033313,-73.97407489974366,Art_Gallery
687,Denise Bibro Fine Art,POINT (-74.00695182116277 40.74677236451142),529 W 20th Street,40.74677236451142,-74.00695182116277,Art_Gallery
688,Dennis De Lorenzo Gallery,POINT (-73.97027929107071 40.76581473623051),21 E 62nd St,40.76581473623051,-73.97027929107071,Art_Gallery
689,Derek Eller Gallery,POINT (-73.98825306635624 40.744507143708255),15 W 27th St,40.744507143708255,-73.98825306635624,Art_Gallery
690,Dickinson Roundell Inc,POINT (-73.96854540922763 40.768254397122384),19 E 66th St,40.768254397122384,-73.96854540922763,Art_Gallery
691,Dollhaus,POINT (-73.96730076177079 40.710841276579444),37 Broadway,40.710841276579444,-73.96730076177079,Art_Gallery
692,Donson Theodore B Ltd,POINT (-73.9757360256425 40.76332075744324),24 W 57th St,40.76332075744324,-73.9757360256425,Art_Gallery
693,Dorfman Projects,POINT (-74.00682774650868 40.74671947348653),529 W 20th St,40.74671947348653,-74.00682774650868,Art_Gallery
694,Dorsky Carol,POINT (-73.96492290063352 40.773036926571606),20 E 74th St,40.773036926571606,-73.96492290063352,Art_Gallery
695,Doug Meyer Fine Art,POINT (-73.9369317584929 40.612782716099275),1775 E 34th St,40.612782716099275,-73.9369317584929,Art_Gallery
696,Downtown Arts Festival,POINT (-74.00737810561168 40.709813332338854),114 Fulton St,40.709813332338854,-74.00737810561168,Art_Gallery
697,Downtown Music Gallery,POINT (-73.9959259244248 40.71165385266468),13 Monroe Street,40.71165385266468,-73.9959259244248,Art_Gallery
698,Dranoff Fine Art,POINT (-73.99738556245964 40.7249965758697),591 Broadway,40.7249965758697,-73.99738556245964,Art_Gallery
699,Dresden Art Galries,POINT (-73.99099244323159 40.74975505881183),401 7 Avenue,40.74975505881183,-73.99099244323159,Art_Gallery
700,DUMBO Arts Center,POINT (-73.98981274885115 40.703473199556065),30 Washington St,40.703473199556065,-73.98981274885115,Art_Gallery
701,Duncan Ligoa,POINT (-73.96590830710969 40.771698552474625),22 E 72nd St,40.771698552474625,-73.96590830710969,Art_Gallery
702,E Art Group,POINT (-73.99390782077703 40.7488345265814),224 W 30th St,40.7488345265814,-73.99390782077703,Art_Gallery
